i,time,id,text
21,Thu Nov 21 18:48:18 2024,29117,"🌋Вот такие вулканы нарисовали студенты МИФИ на мероприятии в честь Дня психолога 

В аудитории А-100 началась психологическая разминка ""Гибкие навыки как псиихологический ресурс личности "" от кандидата психологических наук Марии Фокиной. 

🎨Спикер попросила студентов нарисовать вулканы и проанализировала их рисунки.

Эта методика показывает, способен ли человек выражать негативные эмоции. Если у вулкана нет извержения, значит человек не проявляет чувства и не умеет экологично вымещать агрессию. Ее подавление может привести к депрессии. 

✍По окончании лекции студенты пройдут тест, который покажет практические приемы, связанные с гибкими навыками. А после этого всех ждет квиз ""Гибкие навыки"" от Центра управленческих компетенций МИФИ. 

Команда победителей получит призы от госкорпорации «Росатом»."
22,Thu Nov 21 18:37:00 2024,29116,
23,Thu Nov 21 17:00:34 2024,29114,"📰 Собрали для вас дайджест событий 
 
 
✅НТО «Факел» открывает прием заявок на премию для выдающихся выпускников! 
⏰ до 31 декабря 2024 
Подробнее https://award.ntcontest.ru/ 
 
✅Онлайн-семинар «Методы анализа и обработки данных в экспериментах на ускорительном комплексе NICA» 
⏰ 25-27 ноября 
Подробнее https://mephi.ru/press/announcements/23678 
 
✅В СарФТИ пройдет конференция по гуманитарным и социальным дисциплинам 
Подробнее https://mephi.ru/press/announcements/23666 
 
✅Научно-практическая конференция ""Физико-технические интеллектуальные системы"" 
Подробнее https://ftis-conf.mephi.ru/materials"
24,Thu Nov 21 14:41:40 2024,29112,
25,Thu Nov 21 13:46:14 2024,29111,"🔥Уже завтра в МИФИ состоится открытие первого в России памятника одному из главных организаторов советской атомной программы 
 
22 ноября на Аллеи нобелевских лауреатов, перед главным зданием МИФИ, пройдет торжественная церемония открытия памятника генерал-полковнику Борису Ванникову. 
 
⭐Борис Львович Ванников – трижды герой Социалистического труда, кавалер шести орденов Ленина, лауреат двух сталинских премий. Именно по инициативе Бориса Ванникова был основан предшественник МИФИ - Московский механический институт боеприпасов.
 
Автором скульптуры является член Российского союза художников Александр Миронов, который также будет присутствовать на мероприятии. Спонсор создания памятника – компания «Артпласт». 
 
😇Приглашаем всех желающих присоединиться к торжественному открытию! 
 
🗓Когда: 22 ноября в 12:00 
📍Где: перед главным корпусом МИФИ"
26,Thu Nov 21 12:52:27 2024,29110,"⚛22 ноября ежегодно отмечается День психолога, в связи с чем Психологический Центр НИЯУ МИФИ совместно со студией искусств Х. Л. А. М. приглашает студентов стать участниками и главными действующими лицами иммерсивного психологического спектакля ""Путь к внутреннему Я"".

Спектакль посвящён одной из главных тем юности: как верить в себя и раскрывать подлинное ""Я"" во взаимодействии с людьми.
🗓Ждём вас в 18.00 в библиотеке.
Ссылка для регистрации https://it.mephi.ru/webform/2163"
27,Thu Nov 21 12:40:08 2024,29109,"❤День психолога с Центром управленческих компетенций 
 
21 ноября в 18:00 в аудитории А-100 пройдет квиз «ПсихоКод: узнай свои компетенции», а также интерактивное занятие от психолога, на которых ты сможешь узнать чуть больше о себе и прокачать свои гибкие навыки! 
 
➡Регистрация на квиз здесь. 
 
Приглашаем тебя отметить День психолога вместе с нами и узнать больше о том, как раскрыть свой потенциал!"
28,Thu Nov 21 11:31:55 2024,29108,"⚛МИФИ и Ростех подписали соглашение о стратегическом партнерстве

НИЯУ МИФИ и Госкорпорации Ростех будут совместно решать научно-производственные задачи. Соответствующие соглашения о стратегическом партнерстве было подписано вчера в ходе совещания «Приоритизация задач научно-технологической кооперации для достижения технологического лидерства». Аналогичные соглашения Ростех также подписал с такими вузами, как МФТИ, МИСИС, СТАНКИН, Сеченовский университет и СПбПУ. В совещании приняли участие министр науки и высшего образования РФ Валерий Фальков, генеральный директор Ростеха Сергей Чемезов, руководители холдингов Корпорации и ректоры ведущих российских вузов.

Ректор МИФИ Владимир Шевченко считает сотрудничество с компаниями, входящими в контур Госкорпорации Ростех, логичным развитием той работы, которая уже ведется университетом в рамках задач, поставленных в послании Президента в феврале этого года и направленных на кратный рост к 2030 году доли отечественных высокотехнологических продуктов на внутреннем рынке. 

«Консолидация вузовских и отраслевых ресурсов в рамках научно-производственной кооперации позволит создавать глобально конкурентные разработки. Например, в сфере микро- и наноэлектроники, — это одна из ведущий научных областей в МИФИ: первая кафедра микроэлекроники в СССР была создана именно в нашем университете. Совместная работа в рамках подписанного соглашения, укрепит производственное плечо тех программ, которые уже запущены в стране – в том числе, в составе консорциума «Научное приборостроение» с участием МИФИ. Дополнительную уверенность в плодотворности будущего сотрудничества вузов с Ростехом и промышленностью в целом дают сформированные восемь новых нацпроектов по технологическому лидерству с бюджетным финансированием в объеме 3 трлн рублей, о которых 20 ноября главе государства доложил первый заместитель председателя правительства Российской Федерации Денис Мантуров»
- отметил Владимир Шевченко по итогам подписания соглашения.

Читать подробнее 👉https://mephi.ru/press/news/23718"
29,Wed Nov 20 19:27:52 2024,29107,"Сейчас в МИФИ начинается лекция «Педагог - стратегический капитал государства» заместителя Министра науки и высшего образования РФ Ольги Петровой в рамках Программы «Голос поколения. Преподаватели»

[id708194797|Ольга Петрова] 
[club167915299|Минобрнауки России] 

#ГолосПоколения #Росмолодеж"
30,Wed Nov 20 19:02:00 2024,29106,"😑AI Crime или “Преступление”: какую жизнь ведут МИФИсты после окончания рабочего дня 
 
Задумывались ли вы, чем занимаются преподаватели и сотрудники МИФИ, когда выходят из университета? Может они выпекают самые вкусные блинчики на районе, выращивают нарциссы или выступают на рок-концертах? Мы решили узнать о второй жизни тех, кого видим в университете ежедневно в нашей новой рубрике “Обратная сторона МИФИстов”. 
 
И первый герой рубрики - Павел Кирюхин, заместитель начальника отдела развития цифровых технологий в инженерном образовании центра развития технологий “Росатома” института ядерной физики и технологий МИФИ. 
 
🎸Днем он помогает студентам с дипломами, работает с виртуальной реальностью и разрабатывает приложения, а вечером занимается вокалом и играет на гитаре. О собственной рок-группе в МИФИ, песнях про искусственный интеллект, теории заговора и еще не сломанной на сцене гитаре, читайте в интервью. (https://dzen.ru/a/Zz3clZ27bWtQd-b9?share_to=link)
 
👉Прослушать новый сингл можно по ссылке (https://band.link/YwBbH)
 
P.s. пишите в комментариях, о ком из МИФИстов вам было бы интересно узнать."
31,Wed Nov 20 13:42:00 2024,29103,"🚀Запускаем новый сайт МИФИ

Новый мифический сайт закончил своё тестирование, похорошел, наполнился новыми разделами и контентом - и теперь полностью готов к повседневным встречам с вами, поздоровайтесь с ним https://new-site-2023.mephi.ru/ 🫲

 А пока он постепенно набирает обороты, мы будем знакомить вас с ключевыми изменениями, новыми функциями и сервисами в будущих постах.
А в этом - расскажем о ключевых этапах запуска👆"
32,Wed Nov 20 12:35:00 2024,29101,"😏Анатолий Красильников: не обязательно ехать во Францию, чтобы работать на ИТЭР 
 
В МИФИ был открыт Центр дистанционного участия – один из коммуникационных узлов Единого информационного пространства в области термоядерных исследований FusionSpace.ru (АИП ИКП). ЦДУ обеспечит участникам FusionSpace не только доступ к результатам всех научных экспериментов, но и возможность дистанционного участия в экспериментах на научных установках друг друга. 
 
💥Новый проект реализуется частным учреждением Госкорпорации «Росатом» «Проектный центр ИТЭР» («ИТЭР-Центр»), которое обеспечивает взаимодействие российских организаций с международным проектом термоядерного реактора ИТЭР. 
 
🥸Напомним, что ученые МИФИ активно участвуют в проекте ИТЭР, а эксперименты по некоторым аспектам этого проекта проводятся на наших установках, в частности на токамаке «МИФИСТ-0». О новом информационном пространстве в нашем интервью с директором «ИТЭР-Центра» Анатолием Красильниковым по ссылке ниже
 
🙌""Она [новая система]позволит сделать так, чтобы студент, получая образование, погружался в культуру дистанционного участия в экспериментах. На самом деле это поможет удерживать студентов от ухода в бизнес – потому что им это становится интересным, и они «приживаются» в этой ментальности. Это очень важно"", - поделился мнением Анатолий Красильников."
33,Wed Nov 20 11:15:00 2024,29099,"💰Одной из самых дорогих NFT-работ считается картина «Слияние» от анонимного художника по прозвищу Пак, ее продали за 91,8 млн долларов 
 
А что думают по поводу NFT-искусства преподаватели МИФИ? Этот и другие вопросы мы задали Полине Симакиной в нашей еженедельной рубрике “Задай вопрос эксперту”. 
 
✨Полина Вадимовна преподает на кафедре психологии, социологии и антропологии (№79) и ведет элективный курс “Наука и искусство, актуальные вопросы в современных исследованиях искусства”."
34,Wed Nov 20 09:56:46 2024,29095,"💥Сегодня в МИФИ стартует образовательная Программа «Голос поколения» для преподавателей вузов.

Программа «Голос поколения. Преподаватели» – составная часть  флагманского образовательного проекта Росмолодежи  «Голос поколения», цель которого – подготовка управленцев и проводников смыслов молодёжной политики.

Участников программы ждут лекции от экспертов, деловые игры и групповая работа.

Мероприятия программы будут проходить сегодня и завтра с 10 до 19 часов в библиотеке и  Актовом зале НИЯУ МИФИ."
35,Wed Nov 20 09:20:16 2024,29094,"В МИФИ откроют памятник генералу Борису Ванникову 
 
22 ноября в Национальном исследовательском ядерном университете «МИФИ» пройдет торжественная церемония открытия первого в России памятника одному из главных организаторов советской атомной программы, генерал-полковнику Борису Ванникову. 
 
Борис Львович Ванников (1897-1962) – один из основных организаторов советского атомного проекта на его начальном этапе, в 1945-1953 годах - начальник Первого главного управления при Совете министров СССР, отвечавшего за строительство объектов атомной отрасли, был председателем Технического совета Специального комитета при Совете министров СССР, отвечавшего за поиск решений, необходимых для создания ядерного оружия; в 1953—1958 годах — первый заместитель министра среднего машиностроения СССР (советского «атомного» ведомства) 
Борис Львович Ванников – трижды герой Социалистического труда, кавалер шести орденов Ленина, лауреат двух сталинских премий. 
 
Автор нового памятника Борису Ванникову - скульптор Александр Миронов, ранее создавший памятники советским физикам для Аллеи нобелевских лауреатов, перед главным зданием НИЯУ МИФИ. 
 
Спонсор создания памятника – компания «Артпласт». 
 
Планируется, что в церемонии открытия памятника Борису Ванникову примут участие ректор НИЯУ МИФИ Владимир Шевченко, автор скульптуры, член Российского союза художников Александр Миронов, первый заместитель генерального директора Госкорпорации «Росатом» Олег Шубин, заместитель генерального директора по персоналу Госкорпорации ""Росатом"" Татьяна Терентьева, генеральный директор Корпоративной академии Росатома Юлия Ужакина, вице-президент НИЦ “Курчатовский институт” Александр Благов, директор ВНИИЭФ Валентин Костюков, первый заместитель научного руководителя ВНИИА имени Н.Л. Духова Юрий Бармаков, заведующий кафедрой прикладной математики НИЯУ МИФИ Николай Кудряшов, представители Минобрнауки России и компании «Артпласт». 
 
Начало церемонии – 22 ноября в 12:00 перед главным корпусом НИЯУ МИФИ."
